,oscar_winning_movies
1077,Main Street on the March!
1078,The Man Who Knew Too Much (1956 film)
1079,Manhattan Melodrama
1080,Marie-Louise (film)
1081,Marty (film)
1082,Mary Poppins (film)
1083,Men Against the Arctic
1084,The Merry Widow (1934 film)
1085,A Midsummer Night's Dream (1935 film)
1086,
1087,Mighty Joe Young (1949 film)
1088,Mildred Pierce (film)
1089,The Milky Way (1940 film)
1090,Min and Bill
1091,Miracle on 34th Street
1092,The Miracle Worker (1962 film)
1093,Mister Roberts (1955 film)
1094,Monsieur Vincent
1095,Moonbird
1096,The More the Merrier
1097,Morning Glory (1933 film)
1098,Moscow Strikes Back
1099,Mother Wore Tights
1100,Moulin Rouge (1952 film)
1101,Mouse Trouble
1102,Mr. Deeds Goes to Town
1103,Mr. Smith Goes to Washington
1104,Mrs. Miniver
1105,Munro (film)
1106,The Music Box
1107,The Music Man (1962 film)
1108,Mutiny on the Bounty (1935 film)
1109,My Fair Lady (film)
1110,Mon Oncle
1111,My Gal Sal
1112,The Naked City
1113,National Velvet (film)
1114,Nature's Half Acre
1115,Naughty Marietta (film)
1116,Neighbours (1952 film)
1117,Neptune's Daughter (1949 film)
1118,Never on Sunday
1119,The Night of the Iguana (film)
1120,Nights of Cabiria
1121,Nine from Little Rock
1122,None but the Lonely Heart (film)
1123,North West Mounted Police (film)
1124,"Now, Voyager"
1125,An Occurrence at Owl Creek Bridge (film)
1126,
1127,Of Pups and Puzzles
1128,Oklahoma! (1955 film)
1129,The Old Man and the Sea (1958 film)
1130,The Old Mill
1131,On the Town (film)
1132,On the Waterfront
1133,One Hundred Men and a Girl
1134,One Night of Love
1135,One Way Passage
1136,Overture to The Merry Wives of Windsor
1137,The Paleface (1948 film)
1138,Panic in the Streets (film)
1139,Papa's Delicate Condition
1140,The Patriot (1928 film)
1141,Penny Wisdom
1142,Phantom of the Opera (1943 film)
1143,The Philadelphia Story (film)
1144,Picnic (1955 film)
1145,The Picture of Dorian Gray (1945 film)
1146,Pillow Talk (film)
1147,The Pink Phink
1148,Pinocchio (1940 film)
1149,A Place in the Sun (1951 film)
1150,Plymouth Adventure
1151,Pollyanna (1960 film)
1152,Porgy and Bess (film)
1153,Portrait of Jennie
1154,Prelude to War
1155,Pride and Prejudice (1940 film)
1156,The Pride of the Yankees
1157,Princess O'Rourke
1158,The Private Life of Henry VIII
1159,The Private Life of the Gannets
1160,Project Hope (film)
1161,The Public Pays
1162,Pygmalion (1938 film)
1163,Quicker'n a Wink
1164,The Quiet Man
1165,Quiet Please!
1166,The Rains Came
1167,
1168,Rashomon
1169,The Razor's Edge (1946 film)
1170,Reap the Wild Wind
1171,Rebecca (1940 film)
1172,The Red Balloon
1173,The Red Shoes (1948 film)
1174,The Robe (film)
1175,Robert Frost: A Lover's Quarrel with the World
1176,Roman Holiday
1177,Room at the Top (1959 film)
1178,The Rose Tattoo (film)
1179,Sabrina (1954 film)
1180,Samson and Delilah (1949 film)
1181,Samurai I: Musashi Miyamoto
1182,San Francisco (1936 film)
1183,Sayonara
1184,The Scoundrel (1935 film)
1185,The Sea Around Us (film)
1186,Seal Island (film)
1187,The Search
1188,Seawards the Great Ships
1189,The Secret Land
1190,Seeds of Destiny
1191,Separate Tables (film)
1192,Serengeti Shall Not Die
1193,Sergeant York (film)
1194,Seven Brides for Seven Brothers
1195,Seven Days to Noon
1196,The Seventh Veil
1197,Shane (film)
1198,Shanghai Express (film)
1199,She Wore a Yellow Ribbon
1200,Shoeshine (film)
1201,The Silent World
1202,The Sin of Madelon Claudet
1203,Since You Went Away
1204,Skippy (film)
1205,Sky Above and Mud Beneath
1206,The Snake Pit
1207,Snow White and the Seven Dwarfs (1937 film)
1208,So Much for So Little
1209,So This Is Harris!
1210,The Solid Gold Cadillac
1211,Some Like It Hot
1212,Somebody Up There Likes Me (1956 film)
1213,The Song of Bernadette (film)
1214,Song of the South
1215,Song Without End
1216,Sons and Lovers (film)
1217,Sons of Liberty (film)
1218,South Pacific (1958 film)
1219,Spartacus (film)
1220,Spawn of the North
1221,Speaking of Animals and Their Families
1222,Speedy Gonzales (film)
1223,Spellbound (1945 film)
1224,Splendor in the Grass
1225,Stagecoach (1939 film)
1226,Stairway to Light
1227,Stalag 17
1228,Star in the Night
1229,A Star Is Born (1937 film)
1230,State Fair (1945 film)
1231,The Story of Louis Pasteur
1232,The Stratton Story
1233,Street Angel (1928 film)
1234,A Streetcar Named Desire (1951 film)
1235,Strike Up the Band (film)
1236,Surogat
1237,Sundays and Cybele
1238,Sunrise: A Song of Two Humans
1239,
1240,Sunset Boulevard (film)
1241,Survival City
1242,Suspicion (1941 film)
1243,Sweet Bird of Youth (1962 film)
1244,Sweethearts (1938 film)
1245,Swing Time (film)
1246,Symphony of a City
1247,Tabu: A Story of the South Seas
1248,Target for Tonight
1249,"Teddy, the Rough Rider"
1250,Tempest (1928 film)
1251,The Ten Commandments (1956 film)
1252,That Hamilton Woman
1253,That Mothers Might Live
1254,The Thief of Bagdad (1940 film)
1255,The Third Man
1256,Thirty Seconds Over Tokyo
1257,This Above All (film)
1258,This Is the Army
1259,This Land Is Mine (film)
1260,This Mechanical Age
1261,Three Coins in the Fountain (film)
1262,The Three Faces of Eve
1263,Three Little Pigs (film)
1264,Three Orphan Kittens
1265,Through a Glass Darkly (film)
1266,Thunderball (film)
1267,Thursday's Children
1268,The Time Machine (1960 film)
1269,A Time Out of War
1270,Tin Pan Alley (film)
1271,The Titan: Story of Michelangelo
1272,Titanic (1953 film)
1273,To Catch a Thief
1274,To Each His Own (film)
1275,To Kill a Mockingbird (film)
1276,Tom Jones (1963 film)
1277,Tom Thumb (film)
1278,"Toot, Whistle, Plunk and Boom"
1279,Topkapi (film)
1280,The Tortoise and the Hare (film)
1281,Torture Money
1282,Toward Independence
1283,Transatlantic (1931 film)
1284,The Treasure of the Sierra Madre (film)
1285,A Tree Grows in Brooklyn (1945 film)
1286,The True Glory
1287,The True Story of the Civil War
1288,Tweetie Pie
1289,Twelve O'Clock High
1290,Two Arabian Knights
1291,The Two Mouseketeers
1292,Two Women
1293,The Ugly Duckling (1939 film)
1294,Underworld (1927 film)
1295,The V.I.P.s (film)
1296,Perfect Strangers (1945 film)
1297,Van Gogh (1948 film)
1298,The Vanishing Prairie
1299,The Virgin Spring
1300,Viva Villa!
1301,Viva Zapata!
1302,Waikiki Wedding
1303,The Walls of Malapaga
1304,The War of the Worlds (1953 film)
1305,Watch on the Rhine
1306,Water Birds
1307,The Way of All Flesh (1927 film)
1308,West Side Story (1961 film)
1309,The Westerner (1940 film)
1310,The Wetback Hound
1311,What Ever Happened to Baby Jane? (1962 film)
1312,When Tomorrow Comes (film)
1313,When Magoo Flew
1314,When Worlds Collide (1951 film)
1315,White Shadows in the South Seas
1316,White Wilderness (film)
1317,Who's Who in Animal Land
1318,Why Korea?
1319,Wilson (1944 film)
1320,Wings (1927 film)
1321,Wings Over Everest
1322,With a Song in My Heart (film)
1323,With Byrd at the South Pole
1324,With the Marines at Tarawa
1325,The Wizard of Oz (1939 film)
1326,
1327,Woman of the Year
1328,Wonder Man (film)
1329,The Wonderful World of the Brothers Grimm
1330,World of Kids
1331,World Without Sun
1332,Wrestling Swordfish
1333,Written on the Wind
1334,Wuthering Heights (1939 film)
1335,Yankee Doodle Dandy
1336,The Yankee Doodle Mouse
1337,The Yearling (1946 film)
1338,"Yesterday, Today and Tomorrow"
1339,You Can't Take It with You (film)
1340,Zorba the Greek (film)
