,oscar_winning_movies
255,The Lord of the Rings: The Return of the King
256,Master and Commander: The Far Side of the World
257,Mystic River (film)
258,Cold Mountain (film)
259,Lost in Translation (film)
260,Finding Nemo
261,The Barbarian Invasions
262,Two Soldiers (2003 film)
263,Monster (2003 film)
264,Harvie Krumpet
265,Chernobyl Heart
266,The Fog of War
267,Chicago (2002 film)
268,The Pianist (2002 film)
269,The Lord of the Rings: The Two Towers
270,Frida
271,The Hours (film)
272,Road to Perdition
273,Adaptation (film)
274,Talk to Her
275,This Charming Man (film)
276,Spirited Away
277,Nowhere in Africa
278,The ChubbChubbs!
279,Twin Towers (film)
280,Bowling for Columbine
281,8 Mile (film)
282,A Beautiful Mind (film)
283,The Lord of the Rings: The Fellowship of the Ring
284,Moulin Rouge!
285,Black Hawk Down (film)
286,Gosford Park
287,"Monsters, Inc."
288,Pearl Harbor (film)
289,Iris (2001 film)
290,Shrek
291,Training Day
292,Monster's Ball
293,Thoth (film)
294,For the Birds (film)
295,No Man's Land (2001 film)
296,Murder on a Sunday Morning
297,The Accountant (2001 film)
298,Gladiator (2000 film)
299,"Crouching Tiger, Hidden Dragon"
300,Traffic (2000 film)
301,Erin Brockovich (film)
302,Almost Famous
303,Wonder Boys (film)
304,How the Grinch Stole Christmas (2000 film)
305,U-571 (film)
306,Pollock (film)
307,Father and Daughter (film)
308,Into the Arms of Strangers: Stories of the Kindertransport
309,Quiero ser (I want to be...)
310,Big Mama (film)
311,American Beauty (1999 film)
312,The Matrix
313,The Cider House Rules (film)
314,Topsy-Turvy
315,Sleepy Hollow (film)
316,Boys Don't Cry (1999 film)
317,Tarzan (1999 film)
318,One Day in September
319,The Red Violin
320,The Old Man and the Sea (1999 film)
321,My Mother Dreams the Satan's Disciples in New York
322,King Gimp
323,"Girl, Interrupted (film)"
324,All About My Mother
325,Shakespeare in Love
326,Saving Private Ryan
327,Life Is Beautiful
328,Elizabeth (film)
329,Gods and Monsters (film)
330,The Prince of Egypt
331,Affliction (1997 film)
332,What Dreams May Come (film)
333,The Personals: Improvisations on Romance in the Golden Years
334,The Last Days
335,Election Night (1998 film)
336,Bunny (1998 film)
337,Titanic (1997 film)
338,Good Will Hunting
339,L.A. Confidential (film)
340,As Good as It Gets
341,The Full Monty
342,Men in Black (1997 film)
343,Visas and Virtue
344,Character (film)
345,Geri's Game
346,A Story of Healing
347,The Long Way Home (1997 film)
348,The English Patient (film)
349,Fargo (1996 film)
350,Shine (film)
351,Evita (1996 film)
352,Jerry Maguire
353,Independence Day (1996 film)
354,Emma (1996 theatrical film)
355,Sling Blade (film)
356,The Ghost and the Darkness
357,Kolya
358,The Nutty Professor (1996 film)
359,Quest (1996 film)
360,When We Were Kings
361,Breathing Lessons: The Life and Work of Mark O'Brien
362,Dear Diary (1996 film)
363,Braveheart
364,Apollo 13 (film)
365,Pocahontas (1995 film)
366,The Usual Suspects
367,Restoration (1995 film)
368,Babe (film)
369,Sense and Sensibility (film)
370,Il Postino: The Postman
371,Dead Man Walking (film)
372,Leaving Las Vegas
373,Mighty Aphrodite
374,Anne Frank Remembered
375,A Close Shave
376,Lieberman in Love
377,One Survivor Remembers
378,Antonia's Line
379,Toy Story
380,Forrest Gump
381,The Lion King
382,Speed (1994 film)
383,Ed Wood (film)
384,Pulp Fiction
385,Bullets over Broadway
386,The Madness of King George
387,Legends of the Fall
388,A Time for Justice
389,Franz Kafka's It's a Wonderful Life
390,Maya Lin: A Strong Clear Vision
391,Burnt by the Sun
392,Trevor (film)
393,"The Adventures of Priscilla, Queen of the Desert"
394,Bob's Birthday
395,Blue Sky (1994 film)
396,Schindler's List
397,The Piano
